Bank Name,Logo URL,USD Rate,GBP Rate,JPY Rate,AED Rate,EURO Rate
Commercial Bank of Ethiopia,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/CBE_SA.png/220px-CBE_SA.png,116,164,177,202.6666667,225.1666667
Dashen Bank,https://dashenbanksc.com/wp-content/uploads/cropped-Dashen-Bank-sc-Logo-Square.jpg,116,174,187,174,235.1666667
Abay Bank,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVUVjgp1y2VIGhngbN4xoQP41erBY7pzPthw&s,116,184,197,223.3333333,246.3333333
Abyssinia Bank,https://www.bankofabyssinia.com/wp-content/uploads/2023/10/BoA-LOGO-1-1-scaled.jpg,116,194,207,233.3333333,256.3333333
Oromia Bank,https://upload.wikimedia.org/wikipedia/commons/8/88/Oromia_bank.png,116,204,217,243.3333333,266.3333333
COOP,https://addisfortune.news/wp-content/uploads/2022/01/COOP.jpg,116,214,227,253.3333333,276.3333333
Amhara Bank,https://www.amharabank.com.et/storage/2023/07/icon.png,116,224,237,263.3333333,286.3333333
Wegagen Bank,https://upload.wikimedia.org/wikipedia/commons/c/ca/Wogagen_Bank.png,116,234,247,273.3333333,296.3333333
Hallo Bank,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVUVjgp1y2VIGhngbN4xoQP41erBY7pzPthw&s,116,174,174,174,235.1666667
Bye Bank,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVUVjgp1y2VIGhngbN4xoQP41erBY7pzPthw&s,116,174,174,174,235.1666667
