Bank Name,Logo URL,USD Rate,USD Selling Rate,EUR Rate,EUR Selling Rate,GBP Rate,AED Rate,CHF Rate,CNY Rate,KWD Rate,CAD Rate
Abay Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Abay_Bank_Ethiopia.jpg,132,152.45,164,184,177,132,164,132,164,177
Addis Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Addis_Internatinal_Bank_Ethiopia.jpg,142,142.45,174,194,187,142,174,142,174,187
Ahadu Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Ahadu-Bank.jpg,151,151.45,184,184,197,151,184,151,184,197
Amhara Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Amhara-Bank.jpg,161,147.7833333,194,194,207,161,194,161,194,207
Awash Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Awash-International-Bank.jpg,171,147.2833333,204,204,217,171,204,171,204,217
Abyssinia Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Bank-of-Abyssinia.jpg,181,146.7833333,214,214,227,181,214,181,214,227
Berhan Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Berhan-International-Bank.jpg,191,146.2833333,224,224,237,191,224,191,224,237
Bunna Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Bunna-International-Bank.jpg,201,145.7833333,224,224,247,201,234,201,234,247
Commercial Bank of Ethiopia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Commercial-Bank-of-Ethiopia.jpg,210.6071429,145.2833333,239,231.1428571,257,210.6071429,244,210.6071429,244,257
Cooperative Bank of Oromia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Cooperative-Bank-of-Oromia.jpg,220.4642857,144.7833333,248.1666667,237.452381,267,220.4642857,254,220.4642857,254,267
Dashen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Dashen_Bank_Ethiopia.jpg,230.3214286,144.2833333,257.3333333,243.7619048,277,230.3214286,264,230.3214286,264,277
Development Bank of Ethiopia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Development-Bank-of-Ethiopia.jpg,240.1785714,143.7833333,266.5,250.0714286,287,240.1785714,274,240.1785714,274,287
Enat Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Enat-Bank.jpg,250.0357143,143.2833333,275.6666667,256.3809524,297,250.0357143,284,250.0357143,284,297
Gadaa Bank SC,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Gadaa_Bank_Ethiopia.jpg,259.8928571,142.7833333,284.8333333,262.6904762,307,259.8928571,294,259.8928571,294,307
Global Bank Ethiopia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Global_Bank_Ethiopia.jpg,269.75,142.2833333,294,269,317,269.75,304,269.75,304,317
Hibret Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Hibret-Bank.jpg,279.6071429,141.7833332,303.1666667,275.3095238,327,279.6071429,314,279.6071429,314,327
Hijra Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Hijra-Bank.jpg,289.4642857,141.2833332,312.3333333,281.6190476,337,289.4642857,324,289.4642857,324,337
Anbesa Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Lion-International-Bank.jpg,299.3214286,140.7833332,321.5,287.9285714,347,299.3214286,334,299.3214286,334,347
Nib Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Nib_Bank_Ethiopia.jpg,309.1785714,140.2833332,330.6666667,294.2380952,357,309.1785714,344,309.1785714,344,357
Oromia Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Oromia-Bank-SC.jpg,319.0357143,139.7833332,339.8333333,300.547619,367,319.0357143,354,319.0357143,354,367
Shabelle Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Shabelle_Bank_Ethiopia.jpg,328.8928571,139.2833332,349,306.8571429,377,328.8928571,364,328.8928571,364,377
Sidama Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Sidama-Bank.jpg,338.75,138.7833332,358.1666667,313.1666667,387,338.75,374,338.75,374,387
Siinqee Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Siinqee-Bank.jpg,348.6071429,138.2833332,367.3333333,319.4761905,397,348.6071429,384,348.6071429,384,397
Tsedey Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Tsedey-Bank.jpg,358.4642857,137.7833332,376.5,325.7857143,407,358.4642857,394,358.4642857,394,407
Tsehay Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Tsehay-Bank.jpg,368.3214286,137.2833332,385.6666667,332.0952381,417,368.3214286,404,368.3214286,404,417
Wegagen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Wegagen-Bank.jpg,378.1785714,136.7833332,394.8333333,338.4047619,427,378.1785714,414,378.1785714,414,427
Zamzam Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Zamzam%20Bank.jpg,388.0357143,136.2833332,404,344.7142857,437,388.0357143,424,388.0357143,424,437
Zemen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Zemen-Bank.jpg,397.8928571,135.7833332,413.1666667,351.0238095,447,397.8928571,434,397.8928571,434,447
