Bank Name,Logo URL,USD Buying Rate,USD Selling Rate,EUR Buying Rate,EUR Selling Rate,GBP Buying Rate,GBP Selling Rate,AED Buying Rate,AED Selling Rate,CHF Buying Rate,CHF Selling Rate,CNY Buying Rate,CNY Selling Rate,KWD Buying Rate,KWD Selling Rate,CAD Buying Rate,CAD Selling Rate
Abay Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Abay_Bank_Ethiopia.jpg,132.00,152.45,164.00,184.00,177.00,177.00,132.00,132.00,164.00,164.22,132.00,132.00,164.00,164.00,177.00,177.00
Addis Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Addis_Internatinal_Bank_Ethiopia.jpg,142.00,142.45,174.00,194.00,187.00,187.50,142.00,144.00,174.00,175.33,142.00,145.00,176.00,174.00,187.00,189.00
Ahadu Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Ahadu-Bank.jpg,151.00,151.45,184.00,184.00,197.00,198.00,151.00,156.00,184.00,186.44,151.00,158.00,188.00,184.00,197.00,201.00
Amhara Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Amhara-Bank.jpg,161.00,147.78,194.00,194.00,207.00,208.50,161.00,168.00,194.00,197.55,161.00,171.00,200.00,194.00,207.00,213.00
Awash Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Awash-International-Bank.jpg,171.00,147.28,204.00,204.00,217.00,219.00,171.00,180.00,204.00,208.66,171.00,184.00,212.00,204.00,217.00,225.00
Abyssinia Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Bank-of-Abyssinia.jpg,181.00,146.78,214.00,214.00,227.00,229.50,181.00,192.00,214.00,219.77,181.00,197.00,224.00,214.00,227.00,237.00
Berhan Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Berhan-International-Bank.jpg,191.00,146.28,224.00,224.00,237.00,240.00,191.00,204.00,224.00,230.88,191.00,210.00,236.00,224.00,237.00,249.00
Bunna Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Bunna-International-Bank.jpg,201.00,145.78,224.00,224.00,247.00,250.50,201.00,216.00,234.00,241.99,201.00,223.00,248.00,234.00,247.00,261.00
Commercial Bank of Ethiopia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Commercial-Bank-of-Ethiopia.jpg,210.61,145.28,239.00,231.14,257.00,261.00,210.61,228.00,244.00,253.10,210.61,236.00,260.00,244.00,257.00,273.00
Cooperative Bank of Oromia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Cooperative-Bank-of-Oromia.jpg,220.46,144.78,248.17,237.45,267.00,271.50,220.46,240.00,254.00,264.21,220.46,249.00,272.00,254.00,267.00,285.00
Dashen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Dashen_Bank_Ethiopia.jpg,230.32,144.28,257.33,243.76,277.00,282.00,230.32,252.00,264.00,275.32,230.32,262.00,284.00,264.00,277.00,297.00
Development Bank of Ethiopia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Development-Bank-of-Ethiopia.jpg,240.18,143.78,266.50,250.07,287.00,292.50,240.18,264.00,274.00,286.43,240.18,275.00,296.00,274.00,287.00,309.00
Enat Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Enat-Bank.jpg,250.04,143.28,275.67,256.38,297.00,303.00,250.04,276.00,284.00,297.54,250.04,288.00,308.00,284.00,297.00,321.00
Gadaa Bank SC,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Gadaa_Bank_Ethiopia.jpg,259.89,142.78,284.83,262.69,307.00,313.50,259.89,288.00,294.00,308.65,259.89,301.00,320.00,294.00,307.00,333.00
Global Bank Ethiopia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Global_Bank_Ethiopia.jpg,269.75,142.28,294.00,269.00,317.00,324.00,269.75,300.00,304.00,319.76,269.75,314.00,332.00,304.00,317.00,345.00
Hibret Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Hibret-Bank.jpg,279.61,141.78,303.17,275.31,327.00,334.50,279.61,312.00,314.00,330.87,279.61,327.00,344.00,314.00,327.00,357.00
Hijra Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Hijra-Bank.jpg,289.46,141.28,312.33,281.62,337.00,345.00,289.46,324.00,324.00,341.98,289.46,340.00,356.00,324.00,337.00,369.00
Anbesa Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Lion-International-Bank.jpg,299.32,140.78,321.50,287.93,347.00,355.50,299.32,336.00,334.00,353.09,299.32,353.00,368.00,334.00,347.00,381.00
Nib Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Nib_Bank_Ethiopia.jpg,309.18,140.28,330.67,294.24,357.00,366.00,309.18,348.00,344.00,364.20,309.18,366.00,380.00,344.00,357.00,393.00
Oromia Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Oromia-Bank-SC.jpg,319.04,139.78,339.83,300.55,367.00,376.50,319.04,360.00,354.00,375.31,319.04,379.00,392.00,354.00,367.00,405.00
Shabelle Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Shabelle_Bank_Ethiopia.jpg,328.89,139.28,349.00,306.86,377.00,387.00,328.89,372.00,364.00,386.42,328.89,392.00,404.00,364.00,377.00,417.00
Sidama Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Sidama-Bank.jpg,338.75,138.78,358.17,313.17,387.00,397.50,338.75,384.00,374.00,397.53,338.75,405.00,416.00,374.00,387.00,429.00
Siinqee Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Siinqee-Bank.jpg,348.61,138.28,367.33,319.48,397.00,408.00,348.61,396.00,384.00,408.64,348.61,418.00,428.00,384.00,397.00,441.00
Tsedey Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Tsedey-Bank.jpg,358.46,137.78,376.50,325.79,407.00,418.50,358.46,408.00,394.00,419.75,358.46,431.00,440.00,394.00,407.00,453.00
Tsehay Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Tsehay-Bank.jpg,368.32,137.28,385.67,332.10,417.00,429.00,368.32,420.00,404.00,430.86,368.32,444.00,452.00,404.00,417.00,465.00
Wegagen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Wegagen-Bank.jpg,378.18,136.78,394.83,338.40,427.00,439.50,378.18,432.00,414.00,441.97,378.18,457.00,464.00,414.00,427.00,477.00
Zamzam Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Zamzam%20Bank.jpg,388.04,136.28,404.00,344.71,437.00,450.00,388.04,444.00,424.00,453.08,388.04,470.00,476.00,424.00,437.00,489.00
Zemen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Zemen-Bank.jpg,397.89,135.78,413.17,351.02,447.00,460.50,397.89,456.00,434.00,464.19,397.89,483.00,488.00,434.00,447.00,501.00
