Bank Name,Logo URL,USD Buying Rate,USD Selling Rate,EUR Buying Rate,EUR Selling Rate,GBP Buying Rate,GBP Selling Rate,AED Buying Rate,AED Selling Rate,CHF Buying Rate,CHF Selling Rate,CNY Buying Rate,CNY Selling Rate,KWD Buying Rate,KWD Selling Rate,CAD Buying Rate,CAD Selling Rate
Abay Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Abay_Bank_Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addis Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Addis_Internatinal_Bank_Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahadu Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Ahadu-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amhara Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Amhara-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awash Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Awash-International-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abyssinia Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Bank-of-Abyssinia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berhan Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Berhan-International-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bunna Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Bunna-International-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial Bank (CBE),https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Commercial-Bank-of-Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoopBank of Oromia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Cooperative-Bank-of-Oromia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dashen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Dashen_Bank_Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev. Bank of Ethiopia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Development-Bank-of-Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enat Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Enat-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadaa Bank SC,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Gadaa_Bank_Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global Bank Ethiopia,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Global_Bank_Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibret Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Hibret-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hijra Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Hijra-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anbesa Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Lion-International-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nib Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Nib_Bank_Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oromia Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Oromia-Bank-SC.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shabelle Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Shabelle_Bank_Ethiopia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidama Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Sidama-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siinqee Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Siinqee-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsedey Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Tsedey-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsehay Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Tsehay-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wegagen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Wegagen-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamzam Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Zamzam%20Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zemen Bank,https://raw.githubusercontent.com/fikrunborn/Banklogo/main/Zemen-Bank.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
